timestamp,close,volume,open,high,low
2016.5.24,47750,3988,47890,47890,47620
2016.5.25,47000,16189,47500,47500,46850
2016.5.26,47030,11438,47360,47360,46770
2016.5.27,46630,16086,47080,47080,46300
2016.5.30,46420,6389,46630,46630,46200
2016.5.31,46620,5885,46550,46650,46270
2016.6.1,46810,3102,46620,46990,46620
2016.6.2,46630,3583,46130,47040,46130
2016.6.3,46350,10676,46640,46640,46150
2016.6.7,46880,17604,46770,47020,46750
2016.6.8,46900,6630,46490,47000,46490
2016.6.9,47190,14692,47100,47250,46840
2016.6.10,49480,128275,47220,49650,47220
2016.6.13,48500,42746,48950,49010,48290
2016.6.14,48680,14322,48980,48980,48500
2016.6.15,48900,11204,48680,49000,48680
2016.6.16,49120,16451,49000,49140,48950
2016.6.17,48010,102494,45900,48290,45000
2016.6.20,47540,21755,48020,48210,47400
2016.6.21,47870,8947,47550,47980,47130
2016.6.22,47000,19372,47140,47450,47000
2016.6.23,47050,17837,47110,47220,46850
2016.6.24,49420,62929,47100,49550,46580
2016.6.27,50200,56136,49960,50520,49960
2016.6.28,49380,30502,50300,50500,49350
2016.6.29,49100,35254,48700,49300,48640
2016.6.30,48680,15058,48550,48920,48550
2016.7.1,48940,12008,48710,48980,48710
2016.7.4,49550,26500,49050,49800,49050
2016.7.5,49750,22641,49600,49900,49600
2016.7.6,50910,62235,50610,50950,50350
2016.7.7,50570,20266,50890,50890,50550
2016.7.8,50500,14535,50490,50560,50160
2016.7.11,50290,15879,50500,50700,50250
2016.7.12,49910,10848,50100,50290,49850
2016.7.13,49210,33870,49250,49300,48900
2016.7.14,48950,33433,49930,49930,48950
2016.7.15,48620,37818,48950,48950,48350
2016.7.18,48600,25366,48630,48800,48400
2016.7.19,48700,17028,49040,49040,48580
2016.7.20,48870,13798,49050,49070,48870
2016.7.21,48400,14402,48500,48900,48300
2016.7.22,48580,12718,48850,48860,48570
2016.7.25,48390,11010,48580,48650,48370
2016.7.26,48450,9443,48460,48800,48400
2016.7.27,48320,14115,48510,48640,48200
2016.7.28,48640,12290,48500,48750,48500
2016.7.29,48530,15071,48640,48760,48460
2016.8.1,48650,7869,48800,48950,48610
2016.8.2,48550,19598,48920,48930,48400
2016.8.3,49170,34364,49000,49170,48810
2016.8.4,48750,7379,49100,49100,48630
2016.8.5,48830,6619,48900,49000,48700
2016.8.8,47990,36729,48580,48580,47980
2016.8.9,47740,16540,47900,48060,47740
2016.8.10,47910,13013,47810,48080,47800
2016.8.11,47850,13928,48100,48100,47770
2016.8.12,47800,8340,47850,47890,47520
2016.8.16,47740,8906,47600,47800,47590
2016.8.17,48080,2803,47750,48080,47700
2016.8.18,48300,5401,48350,48500,48300
2016.8.19,48500,14439,48500,48740,48130
2016.8.22,48440,13270,47910,48480,47910
2016.8.23,48200,7208,48400,48500,48150
2016.8.24,48300,3356,48200,48490,48000
2016.8.25,47820,10772,48090,48090,47820
2016.8.26,47660,14813,47800,47800,47570
2016.8.29,47920,12254,47680,48190,47680
2016.8.30,47740,3862,47920,47950,47730
2016.8.31,47300,15761,47620,47620,47240
2016.9.1,47310,5037,47300,47490,47200
2016.9.2,47300,8651,47360,47500,47300
2016.9.5,47350,12228,47500,47550,47320
2016.9.6,47350,8085,47400,47550,47210
2016.9.7,47660,7509,47570,47760,47570
2016.9.8,47600,9152,47440,47630,47350
2016.9.9,47500,13062,47370,47730,47370
2016.9.12,47700,13106,48640,48640,47590
2016.9.13,48010,17520,47600,48020,47530
2016.9.19,47600,28113,47600,47770,47500
2016.9.20,47600,24422,47450,47800,47400
2016.9.21,47850,29568,47480,48500,47310
2016.9.22,47500,12235,47700,47700,47420
2016.9.23,47600,9097,47700,47750,47500
2016.9.26,47770,11583,47700,47830,47670
2016.9.27,47370,14880,47780,48130,47300
2016.9.28,46990,27231,47290,47290,46880
2016.9.29,46910,11051,46900,47070,46770
2016.9.30,47050,23743,47100,47300,46970
2016.10.4,46900,11249,47050,47050,46650
2016.10.5,45870,25911,46000,46020,45610
2016.10.6,45550,23246,45850,45850,45480
2016.10.7,45300,20586,45440,45450,45250
2016.10.10,45360,14988,45800,45800,45320
2016.10.11,45590,8799,45360,45620,45150
2016.10.12,45670,4253,45590,45670,45510
