timestamp,open,high,low,close,volume
20150302,132599,133600,128392,129394,751113
20150227,124787,133800,124787,132398,1329755
20150226,127391,128392,125388,125388,872406
20150225,127992,128993,126790,128392,732021
20150224,127591,129594,127191,127591,713684
20150223,133800,134602,126590,127992,1456719
20150217,133400,135203,133400,134401,175856
20150216,133400,135403,133200,134001,277249
20150213,135203,138608,133400,133800,498342
20150212,136204,136204,131397,136204,573774
20150211,132198,135603,130796,134802,962695
20150210,134201,135803,127992,129794,1848572
20150209,143215,143215,136204,136404,1069550
20150206,142413,144416,141812,143215,379430
20150205,144617,145218,142213,142614,388861
20150204,143415,145618,143215,145218,655781
20150203,142413,143615,141212,142614,607294
20150202,143415,144817,141612,142413,564123
20150130,145218,146219,142413,143415,1498057
20150129,152228,152629,146419,147421,1390289
20150128,152228,156234,152228,155633,615177
20150127,155032,155233,152428,153029,421812
20150126,155233,156034,153830,154431,344498
20150123,155233,156234,152228,156234,495741
20150122,156835,158037,152629,153230,416570
20150121,156635,158037,153830,156234,357284
20150120,156234,159639,156234,158237,505956
20150119,156234,157035,154832,155433,455841
20150116,156034,156234,151627,155633,582421
20150115,149824,155833,148422,155633,934777
20150114,147221,149224,146620,148022,318771
20150113,150626,151227,147821,148222,244273
20150112,149424,152228,149424,150225,183389
20150109,152028,152028,148623,150626,369380
20150108,146019,149224,146019,149023,281537
20150107,150025,150025,146219,146620,259545
20150106,148422,151026,147221,148823,460883
20150105,145418,150225,144416,150025,562016
20150102,142814,146820,142614,146419,320644
20141230,143615,144617,141812,142614,426310
20141229,145818,147020,144416,144817,187558
20141226,146820,149424,146419,147421,203869
20141224,148823,149424,146219,148422,247149
20141223,150025,150425,148222,149224,187948
20141222,148823,149224,146419,149224,226385
20141219,144617,148222,144216,148222,434702
20141218,147821,147821,142814,144016,317913
20141217,148022,148022,144416,146019,346909
20141216,144817,147221,144016,146019,342311
20141215,141212,145818,140611,144617,247239
20141212,142814,144216,140811,142814,442695
20141211,140611,142814,140611,141011,375596
20141210,146219,146620,140410,142413,497019
20141209,146419,147421,145418,145418,375551
20141208,146620,147421,146219,146219,278257
20141205,147421,147621,146419,147421,362950
20141204,146620,147821,146219,147421,475317
20141203,146019,147621,145818,147020,239365
20141202,148422,148623,146019,146820,290693
20141201,149424,151827,146219,147821,535616
20141128,148623,151827,148623,151427,184737
20141127,150225,151427,148422,149224,459231
20141126,150025,151827,150025,150826,222371
20141125,150425,152629,150225,150826,367239
20141124,153430,154231,148623,150225,781233
20141121,157436,157836,152829,152829,397314
20141120,156635,158437,156635,158037,266809
20141119,158037,158237,156234,157636,523030
20141118,152428,157836,152028,156434,492750
20141117,151026,152629,150225,152428,343379
20141114,152629,155032,151026,152428,358447
20141113,149224,153230,149224,152829,486475
20141112,150225,151827,147821,150025,643909
20141111,148222,150425,148022,148623,588202
20141110,147621,150225,147621,148823,436739
20141107,148222,150225,146419,148823,517289
20141106,153430,153430,148623,149424,457129
20141105,151827,153630,149424,153230,460524
20141104,150025,152028,148422,150425,624013
20141103,149224,152028,149023,150025,577333
20141031,151227,152228,149624,151026,700843
20141030,156234,158037,147421,150225,1271068
20141029,162443,162443,154832,155833,599600
20141028,156635,161442,155233,161041,318502
20141027,156434,157236,154832,155633,233330
20141024,159038,159839,153630,156234,254593
20141023,160240,161842,157436,159038,289520
20141022,160040,162644,158838,159839,470903
20141021,156234,160240,155433,159439,359730
20141020,154431,159038,153430,157035,240419
20141017,157236,159839,153430,153430,364947
20141016,153230,159239,153230,157236,578607
20141015,151627,156635,149824,156635,566964
20141014,151427,152028,147221,151827,666854
20141013,148022,154231,144817,151427,716704
20141010,154832,155433,147221,148222,1024982
20141008,154031,158037,153830,157035,496360
20141007,156034,157836,152829,154231,370843
20141006,158838,160040,155233,156034,509365
20141002,158638,163044,158437,158638,520309
20141001,160841,164246,156835,161041,720289
20140930,162844,164046,161242,161642,2571517
20140929,164446,170255,163245,166249,780164
20140926,160240,165848,159839,164446,500878
20140925,165848,167050,161842,161842,657498
20140924,165047,168653,163645,166850,1098487
20140923,154031,167050,153630,167050,1734153
20140922,157236,159439,153230,158237,749765
20140919,157436,160240,156835,158638,719810
20140918,160440,161242,153430,158237,2083315
20140917,150025,150225,147421,148823,522041
20140916,142213,147020,141812,145618,592815
20140915,141412,144216,141212,142213,318192
20140912,141212,145818,140611,141812,893789
20140911,144216,144817,139809,140010,1328582
20140905,150225,151026,144016,145218,776480
20140904,150225,151227,149424,150225,430129
20140903,152829,153230,150225,150225,431497
20140902,152829,154431,152428,152829,257348
20140901,153830,155433,152829,153230,133280
20140829,154031,155833,153029,153830,345401
20140828,156234,156835,153230,153230,323859
20140827,155633,159439,154632,156234,351602
20140826,157035,157436,154632,156034,263854
20140825,156234,156835,154031,155633,232596
20140822,152028,155633,152028,155032,244428
20140821,156234,156835,151827,152028,648162
20140820,161041,161642,157035,158037,387768
20140819,161041,162443,159038,160240,475811
20140818,160240,160841,158037,159038,374458
20140814,160240,161242,157236,159038,455207
20140813,154431,160440,154231,160240,1025381
20140812,153630,156635,152629,154431,577938
20140811,156234,156234,151227,152228,376999
20140808,151227,154231,150425,154031,712651
20140807,150826,151627,147421,149224,428841
20140806,152228,152228,149424,151627,487913
20140805,157836,158037,150826,152629,742251
20140804,154832,157035,154231,156835,592651
20140801,147821,155233,147421,153029,732086
20140731,156034,157236,147621,150025,1553025
20140730,149224,156034,146820,154031,1303969
20140729,151827,152228,146019,147020,1009750
20140728,152028,153630,151627,153029,484358
20140725,151827,154031,151026,151627,701377
20140724,151227,153830,150225,151026,809900
20140723,156835,157636,150826,152028,946585
20140722,154231,156835,153630,156835,410983
20140721,158638,158838,152829,153430,726754
20140718,156234,157236,152428,156835,731612
20140717,160440,161242,156234,156635,908357
20140716,168853,168853,159239,160040,995531
20140715,163044,165848,162644,165648,388057
20140714,159439,162443,158838,161842,260409
20140711,160040,161642,157836,158838,404508
20140710,162644,163845,161242,161642,281552
20140709,163245,164246,160841,161242,503010
20140708,166449,166650,163245,166449,274727
20140707,164246,166449,163445,166449,196340
20140704,167251,167651,162243,164046,576515
20140703,168252,168252,165648,166249,479281
20140702,170856,173260,168853,169654,430374
20140701,165848,170055,165047,169053,300853
20140630,168653,168653,165047,167251,370089
20140627,168252,169053,165848,166650,370439
20140626,165248,170255,165248,170055,613330
20140625,165848,168252,163645,164647,303544
20140624,164647,166850,164246,165248,562755
20140623,158638,165448,157636,165448,1053689
20140620,155233,157636,155233,157636,498801
20140619,156034,157636,154031,155633,373330
20140618,155233,156034,152829,155233,372466
20140617,159038,159038,155633,156234,374198
20140616,155833,159038,154632,159038,271323
20140613,158838,158838,156234,157236,287458
20140612,158838,160841,157836,159239,592091
20140611,157836,160240,156234,157436,747119
20140610,153430,157836,151627,156835,724722
20140609,151627,155032,150626,153830,672561
20140605,155032,155233,148422,148823,530064
20140603,151827,152428,148623,151227,563704
20140602,152028,153430,151427,152629,251817
20140530,155032,156835,151827,151827,566030
20140529,155833,157035,153830,154632,530249
20140528,151827,155833,151227,155833,607958
20140527,149023,152428,148623,151227,673829
20140526,150025,153430,148623,149224,1045631
20140523,155833,156234,154632,155433,269176
20140522,156234,157836,154632,155833,656135
20140521,150225,156034,150025,154832,857338
20140520,147421,151627,147421,151427,569525
20140519,149824,151227,145618,147221,709236
20140516,151627,153230,149023,150626,793684
20140515,152428,155433,151627,152629,1057513
20140514,148823,151827,148022,151827,789810
20140513,148222,150225,146620,150025,1027518
20140512,138808,144817,138808,144016,973644
20140509,140010,141812,135203,138407,2047668
20140508,146620,148222,141212,141212,1457913
20140507,145418,147221,142213,146419,772945
20140502,149624,150425,148022,148022,570429
20140430,147020,148823,146219,147821,604962
20140429,145618,148022,145418,146219,496480
20140428,147621,148222,145618,147020,672266
20140425,154231,155433,149023,149824,788007
20140424,158237,159639,155233,155633,589131
20140423,159839,159839,156234,156234,463120
20140422,155032,158838,153630,158838,978961
20140421,150626,152028,150025,151627,242471
20140418,148022,151227,147821,150225,602990
20140417,150225,150225,146219,147621,721372
20140416,148222,150826,147821,150225,619620
20140415,149824,150425,146419,147020,573889
20140414,147821,150626,147221,148823,497793
20140411,147221,149023,147020,148422,862860
20140410,155233,155633,151427,153230,964303
20140409,152028,152428,149824,149824,789900
20140408,144817,150025,144216,148623,1376465
20140407,153029,154031,147421,148022,2212840
20140404,156034,159439,156034,158237,806585
20140403,161642,163245,159839,160841,616570
20140402,158838,162443,158037,161242,1045077
20140401,154231,157035,153830,156234,792830
20140331,156434,157035,153430,155032,790429
20140328,153830,157236,153230,156234,965077
20140327,153630,156034,152028,154832,1542965
20140326,159639,160440,154231,159639,817064
