index,open,high,low,close,volume
20090413,487000,501000,487000,495000,1503
20090410,466000,490000,465000,487000,2310
20090409,454000,471500,453000,470000,1483
20090408,454500,459500,449500,454000,1937
20090407,456000,463000,450500,451500,2280
20090406,460000,462500,454000,454000,2651
20090403,456000,466500,453000,456500,3321
20090402,451000,459500,449000,454000,2441
20090401,452000,459000,445000,450000,2039
20090331,461000,461000,449000,450000,1850
20090330,460500,462000,444500,462000,1626
20090327,461000,466500,452500,453000,1590
20090326,449000,461000,444500,460500,2022
20090325,463500,467000,448000,448000,673
20090324,470000,470000,446500,458000,3034
20090323,471000,476000,467000,468000,1049
20090320,484000,485500,471000,476000,1260
20090319,475000,482000,467000,480000,1586
20090318,472000,474500,460000,473000,845
20090317,440000,466000,440000,465000,1097
20090316,436000,453000,434500,450000,1314
20090313,437500,448000,435000,445500,1762
20090312,439500,445000,425500,445000,3509
20090311,424000,439500,421500,434500,1141
20090310,424500,434000,420500,427500,544
20090309,434500,436500,412000,429000,668
20090306,413000,433000,401000,425000,846
20090305,400000,421000,395500,413000,700
20090304,393000,410000,380000,410000,1210
20090303,373000,393000,373000,393000,789
20090302,399000,399500,380000,385000,1131
20090227,418000,418000,405500,405500,1212
20090226,419500,430000,403000,413000,1296
20090225,414000,421000,406000,415000,992
20090224,415000,415000,401500,405000,1222
20090223,422500,425000,408500,415000,686
20090220,443000,445000,410000,413000,1765
20090219,431000,448000,431000,437000,1637
20090218,453500,453500,436000,441500,1334
20090217,456500,461500,446500,457000,1616
20090216,455500,464000,455000,462000,816
20090213,463000,465000,451500,463500,708
20090212,447000,464000,440500,464000,1760
20090211,454000,456500,443000,450500,1730
20090210,459500,463500,453500,456000,1046
20090209,448500,461000,448500,456000,943
20090206,451500,463500,447500,448000,1837
20090205,462000,470500,451000,451000,1433
20090204,458000,473500,456000,473000,1060
20090203,449000,462000,445500,462000,1211
20090202,458500,462000,451000,455000,856
20090130,455000,469000,453500,466000,1762
20090129,450000,466500,442000,458000,2108
20090128,448500,456000,444000,450000,1862
20090123,441000,444000,426500,444000,891
20090122,435000,470000,429500,439500,1304
20090121,440000,440000,426000,438000,1076
20090120,434000,444000,434000,442000,922
20090119,426000,444500,426000,440000,919
20090116,425000,437500,424000,425000,1604
20090115,429500,430000,414000,425000,4363
20090114,430000,437500,428500,431000,4636
20090113,429000,433000,423500,430000,5897
20090112,431500,433000,425000,429000,1690
20090109,450000,457000,433000,433000,2401
20090108,457500,464500,447500,447500,2129
20090107,467000,484500,455500,456500,1570
20090106,475000,489000,468500,470500,1161
20090105,460000,468500,457000,466000,1666
20090102,470500,471000,455000,460000,3785
20081230,460000,470500,435000,470500,5432
20081229,420500,455000,419000,455000,3174
20081226,434000,434000,421500,428500,1662
