index,open,high,low,close,volume
20150408,78900,81100,77100,78100,111141
20150407,81200,81400,77300,78500,71325
20150406,75500,79900,75200,79100,137683
20150403,72700,76300,71400,75500,186554
20150402,71000,71800,69700,71800,90171
20150401,72000,72000,69400,70500,52634
20150331,72000,73200,70200,70700,148687
20150330,68900,72000,68800,70500,155640
20150327,70000,70100,68200,68200,55944
20150326,69500,70200,68800,70100,87379
20150325,71000,71400,70300,70500,127904
20150324,71400,71800,70100,70900,120661
20150323,71000,73300,69700,72000,255592
20150320,67300,71100,66300,70600,135553
20150319,68100,69400,67300,68300,118391
20150318,67500,68200,66500,66600,105729
20150317,64500,69700,64000,67500,236665
20150316,64400,64600,62500,63600,46546
20150313,67000,67500,64000,64300,169172
20150312,63800,67900,63800,66300,107172
20150311,65000,65200,62800,63600,67663
20150310,66100,66700,64300,66100,54506
20150309,66300,66900,65000,65600,69491
20150306,64800,69200,64300,66700,161978
20150305,63800,64600,62900,64100,51788
20150304,66500,66500,63800,64100,61610
20150303,64500,65900,63700,65600,99840
20150302,63000,65000,62900,64600,128713
20150227,65100,65300,62700,62800,73798
20150226,65900,65900,63600,65100,77510
20150225,61500,66200,60800,64900,162104
20150224,58500,61300,58500,61000,79066
20150223,60000,60200,58100,58600,40752
20150217,56800,61300,56400,59300,64201
20150216,57100,57400,56600,56800,9667
20150213,57700,58400,56600,57000,22653
20150212,57400,58600,56900,57600,35987
20150211,57800,58300,57100,57500,31145
20150210,57200,57900,56600,57000,24529
20150209,58300,58300,56800,57400,52446
20150206,58900,59300,57800,58400,27720
20150205,59000,59500,58300,58700,29854
20150204,60500,60500,58300,58600,62443
20150203,59600,60300,58000,59500,61318
20150202,59000,61600,58200,59500,71338
20150130,61700,61900,58500,58500,77730
20150129,60800,62000,59600,60900,105191
20150128,60400,65100,60400,62300,259536
20150127,58800,59700,57900,59400,77689
20150126,57300,59900,56000,58900,141288
20150123,56900,57600,56000,56800,75508
20150122,57600,57600,55900,56800,78567
20150121,57800,58100,57000,57600,82502
20150120,59100,59200,56700,58000,109966
20150119,60200,61400,58300,59100,124928
20150116,59100,61900,58000,59900,123967
20150115,59700,60600,57800,59800,171573
20150114,55600,60700,54300,59700,356821
20150113,56100,56500,54300,55200,162291
20150112,56300,57000,53900,56600,633723
20150109,48900,54900,48850,54900,738642
20150108,46400,48200,45850,47750,22844
20150107,45850,46700,45800,46300,23491
20150106,47350,47350,46000,46650,31340
20150105,48000,48400,47100,47150,20906
20150102,46050,49600,46050,47950,32633
20141230,45500,46550,45500,46100,17088
20141229,46850,47150,45800,45800,16294
20141226,47250,47400,46650,47150,13535
20141224,47450,47800,47000,47400,12253
20141223,47500,47950,47300,47450,15548
20141222,47700,47950,47150,47900,26343
20141219,47100,48500,47100,48300,14974
20141218,48450,48500,46300,47000,58322
20141217,48650,49000,47550,47950,35220
20141216,47200,48750,46800,48700,40685
20141215,47100,47400,46250,47250,17443
20141212,48400,48400,47200,47600,15023
20141211,47900,48550,46300,47550,53784
20141210,48900,49000,47800,48250,25431
20141209,49550,49700,48950,49350,32439
20141208,50500,50600,49750,50200,13835
20141205,50200,50500,49600,50500,18730
20141204,50800,50800,50100,50300,5991
20141203,50000,50300,49600,50100,14854
20141202,47850,50300,47850,50200,35525
20141201,50400,50500,48950,48950,20935
20141128,49550,50400,49150,50000,26326
20141127,50800,51000,49650,50000,47134
20141126,50800,52000,50200,51000,105083
20141125,49300,50600,48700,50200,47416
20141124,47800,49650,47650,49300,71227
20141121,48000,48000,47450,47600,17931
20141120,47900,48100,47050,48000,36183
20141119,48300,48300,47200,48150,35651
20141118,47500,48200,47450,48000,48557
20141117,47100,48100,46850,47450,52494
20141114,45700,48350,45650,46800,223075
20141113,44300,44650,44200,44300,32213
20141112,44900,44950,44400,44500,42822
20141111,44550,45400,44550,44850,33964
20141110,45450,46950,45050,45100,36222
20141107,44850,45500,44550,45450,33142
20141106,45750,45800,44150,44850,52845
20141105,45400,45800,45000,45550,23717
20141104,45450,45800,44600,45000,35208
20141103,45350,45850,44600,45850,46274
20141031,45500,45500,44850,45350,21897
20141030,45250,45550,44400,45100,53837
20141029,45400,45600,45000,45300,71778
20141028,44700,45050,44350,44900,17894
20141027,44200,45200,44200,44850,20365
20141024,44750,44950,44300,44300,14797
20141023,45250,45850,44300,44500,30264
20141022,45850,45900,44900,45600,31327
20141021,45000,45650,44600,45000,45682
20141020,44550,45050,44300,44900,33252
20141017,43850,44200,43450,44000,44209
20141016,45200,45650,43600,43650,114469
20141015,46550,46700,45400,45700,37624
20141014,45800,46950,45600,46500,87766
20141013,46750,47000,45400,46400,35488
20141010,46800,47700,45350,46900,39180
20141008,47550,48250,47050,47100,22107
20141007,47300,48450,47300,48050,33470
20141006,48700,49050,47550,47550,41455
20141002,47750,48600,46400,48550,77514
20141001,51300,51300,48000,48200,78946
20140930,50200,51300,49600,51200,55935
20140929,52000,52000,50400,51000,57932
20140926,50100,52100,50000,51600,52887
20140925,52200,52300,50800,51100,25527
20140924,52000,52000,51200,51500,22839
20140923,51500,52400,50800,51900,32737
20140922,52000,52500,51500,51800,62594
20140919,49750,52000,49650,52000,88621
20140918,50100,50100,48950,49550,48591
20140917,50500,51100,49500,49900,72170
20140916,50300,51100,49850,50500,42353
20140915,52000,52000,50200,50300,56789
20140912,52600,52600,51000,52100,22745
20140911,52400,52600,51600,52400,36006
20140905,51600,52400,50000,52300,35322
20140904,50700,51700,50600,51600,37272
20140903,50000,51400,49900,50500,30791
20140902,51300,51300,49450,50000,57542
20140901,52600,52700,50500,51200,39097
20140829,52100,52500,51600,52300,23200
20140828,52200,53000,51400,52500,98951
20140827,50100,52000,49650,52000,107463
20140826,49900,50000,48900,49900,34232
20140825,49100,49750,49000,49700,44424
20140822,49250,49600,48750,49000,37652
20140821,49800,49800,48700,49200,55561
20140820,50400,50400,49550,49650,71681
20140819,50500,50800,50100,50600,89019
20140818,50000,50400,49400,50200,76540
20140814,50200,51000,49300,50000,109521
20140813,49550,50700,48450,50000,140941
20140812,48450,52200,48450,49500,285040
20140811,47950,48400,47300,47900,69394
20140808,48600,48600,47200,47300,53946
20140807,48800,48850,47450,48600,81979
20140806,48400,49250,47400,48700,68702
20140805,49750,49800,48050,48550,97063
20140804,51000,52000,49550,49600,113509
20140801,48850,52100,48700,51500,188236
20140731,48550,50400,48000,49900,218840
20140730,47050,48450,45700,48450,149331
20140729,47800,48350,45800,46700,159998
20140728,46050,47650,46000,47600,136894
20140725,44100,46000,44100,45650,112769
20140724,44300,44900,44000,44350,52369
20140723,43300,44700,43150,44100,164064
20140722,43200,43400,42800,43150,54829
20140721,41900,43300,41750,43100,118623
20140718,41850,42150,41350,41550,111438
20140717,42300,42750,42150,42400,95998
20140716,43200,43200,42050,42300,93347
20140715,43700,43750,43000,43050,72403
20140714,43850,43850,43300,43550,31232
20140711,42900,43500,42700,43300,30377
20140710,43400,43850,42750,43100,58499
20140709,43350,43500,42900,43050,30475
20140708,43400,43700,42750,43650,39473
20140707,43700,43900,42900,43150,47406
20140704,43150,43850,43000,43350,63649
20140703,43300,43500,42600,42600,53815
20140702,42450,43950,42450,43250,91041
20140701,41950,42300,41750,42150,27708
20140630,41700,41850,41550,41850,30832
20140627,41700,41900,41650,41700,22920
20140626,41650,42200,41600,41750,29056
20140625,41500,41900,41500,41600,30663
20140624,41150,42450,41150,41750,64367
20140623,41550,41950,41350,41400,49231
20140620,42800,42950,41500,41500,73174
20140619,42650,43150,42550,42650,49204
20140618,42600,42950,42300,42600,43897
20140617,43350,43450,42650,42650,61634
20140616,43300,43450,42600,42850,39175
20140613,43600,43950,42300,42900,84328
20140612,43950,44100,43400,44000,30893
20140611,42850,44300,42800,44200,66942
20140610,41800,43100,41650,43000,47567
20140609,42900,42950,41550,41850,60897
20140605,41800,43150,41550,42700,80483
20140603,42000,42050,41600,41800,41282
20140602,41500,42150,41050,42050,62158
20140530,42350,42450,41250,41400,93008
20140529,43800,43850,42200,42450,84887
20140528,44200,44200,43450,43700,52703
20140527,44150,44250,43500,43750,32789
20140526,44000,44300,43700,44000,53242
20140523,44450,44850,43950,44050,52489
20140522,44300,44450,43250,44100,86013
20140521,46100,46200,43800,43900,155334
20140520,47250,47350,45900,46450,73064
20140519,48700,48750,47400,47400,78497
20140516,48700,48900,48400,48700,26219
20140515,48850,49450,48550,48650,36297
20140514,47900,49050,47750,48750,50025
20140513,47700,48350,47450,47750,44464
20140512,49800,49950,47500,47500,65246
20140509,50300,50300,49650,49800,13937
20140508,49450,50200,49100,50100,22716
20140507,50700,50700,49400,49500,21780
20140502,50800,50900,50200,50700,16776
20140430,50900,51300,50700,50700,16471
20140429,50400,50900,50400,50700,15462
20140428,50000,51000,50000,50500,24696
20140425,49900,50400,49800,49900,18378
20140424,51000,51600,49850,50000,47049
20140423,51600,51900,50700,50800,40715
20140422,51700,52200,51300,51800,25274
20140421,51900,52200,51500,51600,20760
20140418,52200,52300,51700,52200,36192
20140417,52200,53300,52100,52200,19862
20140416,53000,53000,52300,52500,22983
20140415,52700,53200,52500,53000,28953
20140414,54100,54100,52700,52700,31108
20140411,53500,54000,53100,53400,26231
20140410,54800,54800,54300,54400,14050
20140409,54200,55100,54200,54300,25276
20140408,52800,54100,52700,53800,14204
20140407,52900,53300,52800,52900,12069
20140404,53700,53900,53300,53300,12088
20140403,53900,54200,53600,53800,21671
20140402,53500,54300,53500,53600,24859
20140401,53500,53600,53100,53200,15534
20140331,53400,53500,53000,53400,6092
20140328,53200,53700,53000,53200,9258
20140327,54300,54400,53000,53100,25060
20140326,54900,54900,54000,54400,27027
20140325,55000,55400,54100,54900,20695
20140324,54800,55400,54200,55000,16014
20140321,54900,55000,54200,54800,17441
20140320,54800,54800,53600,54700,16429
20140319,54400,54500,53400,54500,9866
20140318,54500,54500,53800,54200,10362
20140317,53200,54400,53200,54200,13940
20140314,53500,54100,53500,53800,24758
20140313,53300,54500,53200,54000,5920
20140312,53500,54700,53100,53200,25559
20140311,54200,54800,53700,54300,9655
20140310,54000,54200,52900,54000,15858
20140307,54300,54600,53800,54000,7476
20140306,54100,54800,53900,54300,12134
20140305,54800,55000,54100,54200,14820
20140304,54000,54500,53100,54400,22992
20140303,53200,54700,53100,54200,43333
20140228,51400,54000,51400,53400,72154
20140227,51300,51700,51100,51200,22045
20140226,51700,51900,51000,51400,24495
20140225,51300,51800,51000,51700,33715
20140224,51100,51400,50900,51100,7296
20140221,51300,51700,50500,51300,44171
20140220,51500,51500,50800,50800,22981
20140219,51500,51600,51000,51400,38034
20140218,51200,51700,50800,51100,18197
20140217,51100,51700,50900,51400,20023
20140214,50900,51300,50800,50900,25391
20140213,52000,52100,50600,50900,43627
20140212,52100,52500,51700,52000,24112
20140211,53300,53300,51900,52200,19245
20140210,52600,53400,52200,53000,13168
20140207,51400,52700,51200,52400,17999
20140206,51500,52300,51000,51300,19689
20140205,52400,52600,51700,51800,20053
20140204,51800,52700,51500,52500,23363
20140203,53700,54000,52100,52700,22715
20140129,52400,54700,52400,54600,28310
20140128,52300,53400,52300,53000,9607
20140127,52000,53200,51000,53200,19182
20140124,53000,53300,52000,52500,18576
20140123,54400,54700,53100,53400,16233
20140122,55500,55500,54100,54800,25518
20140121,54500,55400,54100,55200,17829
20140120,54900,54900,54000,54700,9564
20140117,53500,54800,53500,54300,9375
20140116,54600,55700,53900,54000,29200
20140115,55000,55200,54200,54800,16421
20140114,54300,55500,54300,54500,13466
20140113,54800,55500,54600,55100,18963
20140110,54600,55400,54000,54800,41613
20140109,52700,55600,52600,55400,67951
20140108,52500,52900,51900,52800,18637
20140107,51500,52300,51300,52200,33231
20140106,52100,52200,51000,51600,26664
20140103,50500,52300,50500,52100,38185
20140102,50600,51300,50500,51000,59547
