,open,high,low,close,volume
20060209,79064,79552,78379,78477,556295
20060208,78770,80432,78184,78379,513015
20060207,80530,80823,79259,79748,447243
20060206,78477,81214,78477,80432,729424
20060203,78184,80627,77989,78477,1344777
20060202,80627,80627,77598,79161,790014
20060201,80627,81605,78575,79357,953132
20060131,81995,83461,81116,81605,1180701
20060127,77891,82386,77304,81311,1436415
20060126,78086,78086,75936,76523,1738331
20060125,78673,78770,76229,76718,1565566
20060124,76327,79943,76229,78868,1258624
20060123,74763,76229,74763,76034,705798
20060120,76718,78184,76620,76620,1190569
20060119,76425,78673,76327,77207,1305175
20060118,77207,77989,76523,76523,1948772
20060117,81995,82093,79161,79161,1336573
20060116,83071,83364,81116,81898,1228848
20060113,84146,84634,82093,83559,903684
20060112,82093,84927,82093,83950,1194624
20060111,82289,83071,81605,82191,642797
20060110,83461,84341,81800,82191,983104
20060109,83461,84536,83266,83266,1353249
20060106,84048,84341,82777,83266,1685882
20060105,85318,86002,81800,83071,2031661
20060104,87957,89227,86296,86687,1619472
20060103,88250,90205,86980,87957,1263308
20060102,88055,88250,85611,87468,836363
20051229,88055,89227,87273,87273,856833
20051228,87859,89423,87175,87664,997345
20051227,89912,90596,87762,88934,862793
20051226,91671,91671,89032,90596,746578
20051223,88739,92648,88739,91671,1310492
20051222,86002,88543,85123,87664,1153465
20051221,85025,86491,84146,84634,569640
20051220,83657,85709,83559,84048,547299
20051219,80725,86002,80041,85025,923346
20051216,80139,81116,79454,79552,945172
20051215,83266,83755,80139,81116,1162196
20051214,84732,86198,83071,83168,800477
20051213,84341,85807,83559,84536,739657
20051212,83071,84439,83071,84243,673106
20051209,83461,84048,81898,82093,767561
20051208,84048,84439,81898,83364,1016925
20051207,82875,84732,81507,84634,977275
20051206,81116,84146,80823,82777,1046934
20051205,83852,84048,81116,81116,1137465
20051202,80920,82777,80725,82484,2358131
20051201,77500,79650,77207,79357,2603157
20051130,75448,77402,75252,76816,1838434
20051129,73786,75545,73298,74763,1206056
20051128,72907,74470,72907,73786,482899
20051125,73982,74177,73004,73200,459015
20051124,71734,74177,71343,73298,1661624
20051123,71636,71929,71245,71245,487081
20051122,72027,72320,70561,71050,619930
20051121,72613,73102,72125,72320,426149
20051118,72907,73200,71929,72320,714402
20051117,71734,72418,71147,72222,560025
20051116,71636,72516,71147,72320,927042
20051115,72320,72516,71245,72125,648698
20051114,72613,72809,72027,72125,627707
20051111,72125,72516,71929,72125,1186306
20051110,70757,71538,70757,71343,1103386
20051109,70072,70854,69975,70463,834176
20051108,70366,70659,69779,70072,630829
20051107,69877,70463,69388,70072,644161
20051104,70072,70366,69291,69584,770597
20051103,69291,70072,69193,69779,1450603
20051102,68020,68900,67531,68411,862220
20051101,67238,67825,66554,67434,1720297
20051031,66065,66554,65772,66163,547184
20051028,65870,66065,65675,65968,778542
20051027,66456,67531,66163,66750,744448
20051026,66554,67238,66163,66652,895104
20051025,67727,67727,66163,66456,804620
20051024,67434,67629,66261,66652,930510
20051021,65870,67922,65870,67531,604872
20051020,67922,68216,66945,67043,1237054
20051019,69095,69095,66750,67531,1770004
20051018,70757,71147,68900,69095,1344254
20051017,70170,71147,69584,70268,876053
20051014,69388,70757,68997,70366,1061920
20051013,69095,69291,68411,69095,1006348
20051012,70659,71050,68900,69486,1305505
20051011,69877,71441,69779,70952,1466103
20051010,69388,69877,69095,69779,799069
20051007,68900,70366,68606,69584,1099716
20051006,68704,69388,68411,68900,896486
20051005,70170,70366,69388,69779,1860610
20051004,69486,69877,69193,69681,1648266
20050930,67727,68802,67727,68313,2239794
20050929,67043,67434,66750,67043,1130715
20050928,65479,66847,65479,66456,1444031
20050927,66163,66163,64795,65284,1013762
20050926,65479,65968,65186,65772,845039
20050923,66847,67043,65284,65479,1323756
20050922,67238,67238,66554,67141,883570
20050921,66554,67922,66554,67434,1850451
20050920,66554,66652,65577,66456,1147633
20050916,66261,66652,64990,65284,1387196
20050915,65968,67141,65675,66163,1534259
20050914,66945,67531,65577,66750,1722287
20050913,67825,68118,66554,66652,2282269
20050912,66163,67922,66163,67336,3716268
20050909,63036,65284,62840,65186,2983044
20050908,62840,63427,62156,62156,1421026
20050907,61863,62547,61765,62156,1222252
20050906,61179,62059,61179,61374,780360
20050905,61374,61863,61081,61277,713537
20050902,61374,61765,60984,60984,781568
20050901,61081,61472,60886,61277,766655
20050831,60984,61081,60202,60886,879429
20050830,61277,61570,60593,60788,836081
20050829,60886,61374,60495,61277,801953
20050826,60788,61668,60788,61570,887453
20050825,61277,61668,60886,61374,1745988
20050824,61863,61961,60788,61570,1416414
20050823,61668,62059,60788,61863,14241543
20050822,62547,64013,62547,63036,744345
20050819,62938,63231,62059,62449,566550
20050818,62938,63525,62645,62938,1068720
20050817,62449,62840,61863,62547,802292
20050816,63818,64013,62938,63036,604355
20050812,63622,64013,63036,63622,929827
20050811,63231,63231,62743,63231,557847
20050810,63134,63525,62938,63134,724467
20050809,62743,62938,62547,62743,618322
20050808,62449,63231,62449,62938,740861
20050805,63036,63525,62645,63231,587755
20050804,64209,64209,62840,63622,1567456
20050803,64990,65577,63915,64209,1661084
20050802,65186,65479,64990,64990,646067
20050801,65479,65772,65186,65284,488603
20050729,65870,66652,65088,65088,1074573
20050728,65772,65772,65088,65088,640254
20050727,65479,65772,64893,65772,951754
20050726,64306,66163,64306,65381,969147
20050725,64697,64990,64209,64502,863899
20050722,64013,65381,64013,64795,943982
20050721,64795,65186,64111,64404,1106114
20050720,65284,65479,64306,64502,1778808
20050719,65284,65870,64795,65284,2722736
20050718,66945,68411,66261,66359,1384271
20050715,67531,67727,66652,66945,618916
20050714,67238,67434,66750,67141,1088196
20050713,66163,66750,65772,66163,914080
20050712,67434,67629,66163,66261,1077158
20050711,67629,68118,66945,66945,1016605
20050708,66163,67336,66163,66847,1027197
20050707,65186,66847,65186,66359,1401275
20050706,65577,66163,65479,65675,1084355
20050705,64893,65968,64795,64990,871011
20050704,65186,65381,64795,65088,753984
20050701,64209,65284,63818,65186,909977
20050630,63915,64795,63915,64306,996597
20050629,64697,64990,63622,64111,1156229
20050628,64306,64697,64209,64404,1259795
20050627,64111,65186,64013,64697,957875
20050624,64990,66163,64795,64893,1192122
20050623,64893,66065,64893,65577,1352590
20050622,64404,65479,64404,65284,2015647
20050621,65675,65870,65186,65381,1764409
20050620,67141,67336,65870,66456,2100544
20050617,68411,68509,67434,67727,1245557
20050616,68313,69095,68216,68509,788168
20050615,67531,68411,67531,68313,1100927
20050614,68020,68411,67531,67922,1204813
20050613,68411,68900,68216,68411,1259216
20050610,69291,69779,68802,68997,1486127
20050609,69193,69877,68900,69877,1075098
20050608,69095,70170,69095,70170,1153278
20050607,70268,70463,69584,69681,603186
20050603,70854,70854,69681,70170,790877
20050602,71441,71832,70170,70463,846938
20050601,71147,71245,70463,71050,461048
20050531,71245,71538,70659,71538,612024
20050530,71147,71343,70854,71343,411650
20050527,70366,71050,70366,71050,734354
20050526,69095,69975,68997,69681,557776
20050525,70757,71147,69193,69388,993398
20050524,70854,71441,70366,70561,637328
20050523,70366,70952,70072,70268,529421
20050520,70366,71147,69779,70366,1237323
20050519,68509,69877,68216,69877,1555710
20050518,68313,68313,67531,67629,473951
20050517,68216,68606,67043,67434,566436
20050516,66750,67922,66750,67531,1071249
20050513,64893,66456,64502,66261,634131
20050512,66163,66652,65381,65870,778413
20050511,66065,66750,65675,66652,695799
20050510,66163,66945,66065,66652,962194
20050509,65577,65870,64697,65870,656008
20050506,64600,65479,64502,65479,853956
20050504,64013,65479,64013,64990,545802
20050503,65088,65675,64209,64306,249342
20050502,65088,65186,63818,65088,553828
20050429,64306,65577,64209,64990,671567
20050428,65968,66359,64893,65479,653013
20050427,65772,66554,65577,66261,594112
20050426,67434,67531,66652,66652,445796
20050425,66945,67727,66456,67336,405500
20050422,68118,68313,66945,67238,566858
20050421,65577,67043,64990,66945,703466
20050420,66652,67922,66065,66652,1058154
20050419,64209,66456,64209,65577,1397411
20050418,63525,64013,63134,63622,1010605
20050415,65675,65870,64697,64795,872273
20050414,66065,66456,65772,66163,629750
20050413,68216,68313,66847,66945,618009
20050412,67922,68313,66945,67922,473721
20050411,68509,68704,68118,68313,338762
20050408,67727,69291,67727,69193,1662067
20050407,67629,67727,66652,67141,895926
20050406,68313,68606,67141,67825,523576
20050404,67336,68216,66945,67825,657618
20050401,66847,68020,66847,67727,1087952
20050331,67531,67825,66359,66554,595621
20050330,65088,66456,64600,66359,561597
20050329,67043,67141,65381,65772,672459
20050328,67141,68118,66554,66945,635295
20050325,65479,66847,65381,66652,949896
20050324,64990,65577,64013,64893,1256908
20050323,65186,65284,63818,64795,1301468
20050322,65088,66456,64893,65870,1071739
20050321,65675,66163,64990,65968,1013275
20050318,64502,65479,64502,65479,939665
20050317,65577,65870,64306,65381,1699023
20050316,66554,67434,65577,66652,1405107
20050315,69193,69779,66945,67531,1964073
20050314,69584,69779,68900,69193,712155
20050311,68997,70952,68997,70366,1278982
20050310,68704,69388,68411,68900,1795578
20050309,69388,69486,68313,69291,2097915
20050308,73493,73493,69877,70366,2008664
20050307,73298,74177,72222,73200,1861485
20050304,74959,74959,73493,73591,1284402
20050303,74763,75448,73982,75154,901797
20050302,77695,77793,74763,75252,1040790
20050228,77109,77304,75741,77207,962527
20050225,75252,76229,74861,76034,814591
20050224,72809,75545,72809,74763,943709
20050223,74861,75252,73102,73395,1469698
20050222,77891,77891,75741,76718,1519319
20050221,77695,80041,76816,78477,4213125
20050218,72418,73298,72027,73298,1623614
20050217,72711,73591,72125,73591,922177
20050216,72613,73298,71734,72809,1011352
20050215,72125,72907,71441,72613,855097
20050214,71050,72320,70757,71929,1503647
20050211,70072,70072,69388,69779,873671
20050207,69681,70561,68900,70463,1004974
20050204,67043,68900,67043,68606,880223
20050203,66945,67922,66750,67629,735788
20050202,68020,68509,67336,67434,579002
20050201,68216,68997,67922,67922,768300
20050131,67531,69193,67434,68997,1085407
20050128,68509,68802,67629,68118,1284747
20050127,69486,69584,68313,69584,1216210
20050126,68802,69486,68216,68704,2080664
20050125,70170,70757,68313,68997,1848743
20050124,69388,71538,69095,71538,1203224
20050121,69388,70463,69193,69877,2070084
20050120,69877,70463,68997,70366,1600847
20050119,71832,73395,70757,71147,1725257
20050118,73298,73786,71734,72320,1820842
20050117,70366,73493,69877,73493,2720777
20050114,65479,68313,65186,68216,1767177
20050113,66456,66945,65088,65479,1728654
20050112,65479,67727,65381,67238,1883663
20050111,63915,65479,63818,65479,650164
20050110,63915,64209,63329,63622,468660
20050107,64600,65381,63818,63915,826821
20050106,64013,65772,63622,65479,1001914
20050105,62254,64697,61863,64697,1213271
20050104,63036,63036,61765,62743,604888
20050103,63427,63525,62743,63427,728695
20041230,61277,63036,60788,62645,742965
