,open,high,low,close,volume
20130604,30660,30840,30420,30800,8496600
20130603,30720,31180,30560,30640,10309450
20130531,30920,31180,30740,30760,18025050
20130530,30360,30980,30240,30880,22778000
20130529,29680,30460,29660,30240,14760550
20130528,29620,29920,29620,29680,11588050
20130527,29800,29980,29740,29780,6146400
20130524,29740,29880,29440,29720,10190600
20130523,29840,30040,29680,29680,11994150
20130522,30080,30200,29820,30180,9923100
20130521,30200,30200,29700,29840,11600400
20130520,30040,30240,29920,29940,12288850
20130516,30020,30280,30000,30160,14657550
20130515,29700,30000,29680,30000,10594800
20130514,29740,30000,29660,30000,9002650
20130513,29420,29600,29240,29540,8750100
20130510,30280,30280,29520,29520,11794850
20130509,29800,30400,29780,30300,10806150
20130508,29860,29960,29580,29760,14921950
20130507,30160,30160,29820,29860,11434500
20130506,30800,30800,30240,30280,8654300
20130503,30700,30740,30420,30700,6559050
20130502,30520,30640,30340,30560,10048950
20130430,29800,30600,29760,30400,18705000
20130429,29820,29840,29500,29620,8500150
20130426,29900,29940,29440,29720,11651600
20130425,29400,29880,29400,29880,10463900
20130424,29700,29880,29480,29720,10086550
20130423,30000,30060,29480,29660,8864850
20130422,29800,30060,29300,30060,9335850
20130419,29300,29840,29100,29500,15704000
20130418,30400,30440,29620,29660,13358400
20130417,31320,31320,30280,30360,10491100
20130416,30100,30640,30020,30560,18551850
20130415,30060,30700,30060,30460,10767300
20130412,30800,31000,30260,30340,10744050
20130411,30420,30800,30360,30800,11291500
20130410,30800,30800,30260,30420,11779700
20130409,30540,30600,30200,30560,9244000
20130408,30100,30620,29940,30400,12959500
20130405,30100,30320,29860,30100,14977350
20130404,30340,30380,29980,30120,10700450
20130403,30520,30560,30180,30420,10882700
20130402,30200,30640,30200,30500,8574850
20130401,30700,30700,30240,30240,5295500
20130329,30480,30640,30340,30540,9533700
20130328,30060,30200,29940,30200,7989600
20130327,30300,30320,29740,30080,12881400
20130326,29900,30440,29820,30180,16830000
20130325,29600,29900,29400,29900,10272050
20130322,29160,29360,29040,29100,10687100
20130321,29220,29480,29120,29140,11768550
20130320,29200,29700,29120,29200,13515750
20130319,29000,29840,28960,29500,13977100
20130318,29200,29200,28680,28900,26439550
20130315,30580,30580,29600,29600,36618350
20130314,30560,30680,29980,30400,12557800
20130313,30120,30580,30020,30540,11303550
20130312,30080,30240,29800,29880,8746550
20130311,29860,30240,29700,30160,13748250
20130308,30300,30340,29780,29980,18941000
20130307,30960,31000,30240,30400,13482700
20130306,31440,31500,30940,31200,10148650
20130305,31120,31280,30960,31000,9294600
20130304,31260,31260,30600,30780,13276850
20130228,30600,31080,30600,30880,12784200
20130227,31180,31180,30380,30540,8938200
20130226,30300,30760,30160,30540,9244750
20130225,30980,30980,30600,30600,8897550
20130222,30600,30960,30400,30600,13852650
20130221,30800,31160,30700,31000,13123650
20130220,30040,30900,29940,30900,18039350
20130219,29600,29980,29580,29840,6132250
20130218,29800,30020,29620,29800,7109950
20130215,29800,29960,29540,29960,7599950
20130214,29800,29880,29540,29800,7534100
20130213,29480,29780,29120,29740,9209050
20130212,29680,29680,29180,29360,8419750
20130208,28360,29400,28300,29240,13423850
20130207,28780,28780,28400,28400,9721100
20130206,28800,28860,28540,28540,6897150
20130205,28300,28860,28280,28700,11388100
20130204,29000,29060,28340,28740,12861900
20130201,29200,29200,28440,28820,11576200
20130131,28600,28960,28440,28960,16052800
20130130,28520,28800,28240,28800,16192400
20130129,27800,28360,27600,28180,21635950
20130128,27920,28020,27420,27440,30935400
20130125,29200,29220,28100,28340,21820900
20130124,29360,29380,28820,29060,16007300
20130123,30000,30040,29460,29460,9337450
20130122,28900,29740,28900,29600,11958300
20130121,29280,29500,28960,29080,14539200
20130118,29600,29740,29100,29600,12530050
20130117,30040,30040,29000,29380,20249950
20130116,30280,30520,29660,29840,16252900
20130115,31200,31200,30240,30240,10738450
20130114,30780,31040,30560,31040,8030100
20130111,30960,30960,30140,30660,11949100
20130110,30300,30680,30000,30600,14674100
20130109,30000,30260,29820,30000,12686000
20130108,30260,30340,29960,30000,13837850
20130107,30300,30560,30000,30400,12621800
20130104,30800,30840,30200,30500,13006000
20130103,31640,31680,30860,30860,14246350
20130102,30660,31520,30540,31520,11463700
20121228,29760,30600,29740,30440,10613300
20121227,29400,30000,29400,29920,9145450
20121226,29600,30060,29400,29400,14091000
20121224,28960,29520,28840,29480,14535100
20121221,29860,29920,28800,28840,27675500
